id,name,image,subtitle,url,created_at
51,God's Plan,https://c.saavncdn.com/450/Jesus-Christ-English-2010-150x150.jpg,Jesus Christ - Jesus Christ,https://aac.saavncdn.com/450/6e17e40a0536c4d30f1b5b54822599e7_160.mp4,2024-01-15 19:14:19.033141+00
52,God's Plan (Indian Acoustic Mix),https://c.saavncdn.com/713/Raga-Covers-2-English-2018-20181002110040-150x150.jpg,"Mithil Chakraborty, Anu Romesh, Ashwin Seshadri, IndianRaga, Bharath Namboothiry, Various Artists - Raga Covers 2",https://aac.saavncdn.com/713/2d6c2b7af708395e1ae5ee53aed826bb_160.mp4,2024-01-15 19:14:19.036414+00
53,God's Plan,https://c.saavncdn.com/946/God-s-Plan-English-2018-20180216092521-150x150.jpg,"We Rabbitz ft. Cam Fattore, Kid Travis - God's Plan",https://aac.saavncdn.com/946/0988c5e161f7051aa22aeb013e972e9b_160.mp4,2024-01-15 19:14:19.030109+00
54,God's Plan,https://c.saavncdn.com/698/Love-Is-Dead-English-2018-20190131163301-150x150.jpg,CHVRCHES - Love Is Dead,https://aac.saavncdn.com/698/1217b6325a9890deb63e6f429fa9ccba_160.mp4,2024-01-15 19:14:19.029821+00
55,God's Plan,https://c.saavncdn.com/152/Scorpion-English-2018-20180701062706-150x150.jpg,Drake - Scorpion,https://aac.saavncdn.com/152/ff77c15a4e8d258ce599e29d3e81991d_160.mp4,2024-01-15 19:14:19.043078+00
56,God's Plan,https://c.saavncdn.com/036/God-s-Plan-English-2018-20180312165624-150x150.jpg,Cimorelli - God's Plan,https://aac.saavncdn.com/036/645ab0b513e094c6b980f53cbaa76f57_160.mp4,2024-01-15 19:14:19.042411+00
57,God's Plan (Originally Performed by Drake) [Karaoke Version],https://c.saavncdn.com/472/God-s-Plan-Originally-Performed-by-Drake-Karaoke-Version--English-2018-20180210012746-150x150.jpg,Karaoke Guru - God's Plan (Originally Performed by Drake) [Karaoke Version],https://aac.saavncdn.com/472/e13d5c0430ce86dcae8a35f6f7ffd6fc_160.mp4,2024-01-15 19:14:19.052983+00
58,God's Plan,https://c.saavncdn.com/743/KIDZ-BOP-2019-English-2018-20190419233605-150x150.jpg,KIDZ BOP Kids - KIDZ BOP 2019,https://aac.saavncdn.com/743/554846102dafd8ff6c41ab6d6ee4a395_160.mp4,2024-01-15 19:14:19.144303+00
59,God's Plan,https://c.saavncdn.com/670/Your-Favorite-Hits-Workout-Playlist-English-2018-20190614155433-150x150.jpg,The Gym All-Stars - Your Favorite Hits Workout Playlist,https://aac.saavncdn.com/670/d3043c64dea4b2e178290cb1e4ca32fd_160.mp4,2024-01-15 19:14:19.152034+00
60,God's Plan,https://c.saavncdn.com/072/Current-Hits-Playlist-English-2018-20180915033214-150x150.jpg,More Hits - Current Hits Playlist,https://aac.saavncdn.com/072/615fb8d8302be12f8ab6fa0890836d61_160.mp4,2024-01-15 19:14:19.155235+00
61,God's Plan (Tribute to Drake),https://c.saavncdn.com/193/God-s-Plan-Tribute-to-Drake--English-2018-20180208222927-150x150.jpg,Krazed Platinum - God's Plan (Tribute to Drake),https://aac.saavncdn.com/193/44f810d30e8b09e3be3137b01d0420f3_160.mp4,2024-01-15 19:14:19.156934+00
62,God's Plan (Originally Performed by Drake) [Karaoke Version],https://c.saavncdn.com/489/God-s-Plan-Originally-Performed-by-Drake-Karaoke-Version--English-2018-20180217211247-150x150.jpg,Cover Guru - God's Plan (Originally Performed by Drake) [Karaoke Version],https://aac.saavncdn.com/489/d7c49027de4dbc4b8c21cc28c8322f6b_160.mp4,2024-01-15 19:14:19.162555+00
63,God's Plan,https://c.saavncdn.com/597/God-s-Plan-Unknown-2021-20210202151044-150x150.jpg,Laddi Chhajla - God's Plan,https://aac.saavncdn.com/597/22c7816356aadb15100a325058e7d115_160.mp4,2024-01-15 19:14:19.277876+00
64,God's Plan,https://c.saavncdn.com/553/God-s-Plan-Punjabi-2021-20210310141618-150x150.jpg,"Hardeep Grewal ft. Homeboy, Yeah Proof - God's Plan",https://aac.saavncdn.com/553/3e7834ed6ee1b749a77d7e8eba0dbe46_160.mp4,2024-01-15 19:14:19.344372+00
65,God's Plan,https://c.saavncdn.com/152/Scorpion-English-2018-20180701062706-150x150.jpg,Drake - Scorpion,https://aac.saavncdn.com/152/ff77c15a4e8d258ce599e29d3e81991d_160.mp4,2024-01-15 19:14:30.895321+00
66,God's,https://c.saavncdn.com/649/Things-English-2019-20230429202805-150x150.jpg,Zay Saint Noise - Things,https://aac.saavncdn.com/649/4ee17e15e7086ee96313af7c6d617f25_160.mp4,2024-01-15 19:14:30.976172+00
67,GOD'S COUNTRY,https://c.saavncdn.com/882/UTOPIA-English-2023-20230728085013-150x150.jpg,Travis Scott - UTOPIA,https://aac.saavncdn.com/882/8c132647916e66544601eb78b83238b0_160.mp4,2024-01-15 19:14:30.975455+00
68,God's Country,https://c.saavncdn.com/495/God-s-Country-English-2019-20191017020351-150x150.jpg,Blake Shelton - God's Country,https://aac.saavncdn.com/495/7e0c7d7c39ec4bedd1ea297a5b01253b_160.mp4,2024-01-15 19:14:30.982115+00
69,God's Fav,https://c.saavncdn.com/816/God-s-Fav-Punjabi-2023-20230816013206-150x150.jpg,Rohanpreet Singh - God's Fav,https://aac.saavncdn.com/816/1b84def037c28248bf66c1f6621771fb_160.mp4,2024-01-15 19:14:30.986354+00
70,All Gods Mix Song,https://c.saavncdn.com/450/Sri-Hanuman-Abhayam-2005-150x150.jpg,K. Srinivas - Sri Hanuman Abhayam,https://aac.saavncdn.com/450/9c8856301a3b57c3afb4855b8ed96e3e_160.mp4,2024-01-15 19:14:30.990047+00
71,God's Grace,https://c.saavncdn.com/233/God-s-Grace-Punjabi-2023-20231110140313-150x150.jpg,Jagmeet Brar ft. Prince Saggu - God's Grace,https://aac.saavncdn.com/233/a86e98db488b418eb9f4b31483f3b390_160.mp4,2024-01-15 19:14:31.000141+00
72,God's Great Dance Floor,https://c.saavncdn.com/776/The-Ultimate-Playlist-English-2016-150x150.jpg,Chris Tomlin - The Ultimate Playlist,https://aac.saavncdn.com/776/f1a686e976dced10fbaed3f65fdd99af_160.mp4,2024-01-15 19:14:30.999001+00
73,God's Art,https://c.saavncdn.com/045/God-s-Art-Punjabi-2023-20231220123239-150x150.jpg,"Harkirat Sangha, Starboy X - God's Art",https://aac.saavncdn.com/045/66d1e0a672353ec1fd96e106040b44f0_160.mp4,2024-01-15 19:14:31.000257+00
